mode,max_memory_mb,query_id,query,iteration,time_millis,memory_usage_bytes,disk_usage_bytes,total_entries,disk_evictions
Liquid,512,0,SELECT COUNT(*) FROM hits,0,3,0,0,0,0
Liquid,512,0,SELECT COUNT(*) FROM hits,1,0,0,0,0,0
Liquid,512,0,SELECT COUNT(*) FROM hits,2,0,0,0,0,0
Liquid,512,1,"SELECT COUNT(*) FROM hits WHERE ""AdvEngineID"" <> 0",0,56,190007064,0,11540,0
Liquid,512,1,"SELECT COUNT(*) FROM hits WHERE ""AdvEngineID"" <> 0",1,12,190007064,0,11540,0
Liquid,512,1,"SELECT COUNT(*) FROM hits WHERE ""AdvEngineID"" <> 0",2,11,190007064,0,11540,0
Liquid,512,2,"SELECT SUM(""AdvEngineID""), COUNT(*), AVG(""ResolutionWidth"") FROM hits",0,87,402335844,0,24436,0
Liquid,512,2,"SELECT SUM(""AdvEngineID""), COUNT(*), AVG(""ResolutionWidth"") FROM hits",1,21,402335844,0,24436,0
Liquid,512,2,"SELECT SUM(""AdvEngineID""), COUNT(*), AVG(""ResolutionWidth"") FROM hits",2,22,402335844,0,24436,0
Liquid,512,3,"SELECT AVG(""UserID"") FROM hits",0,34067,536781437,378073648,36654,0
Liquid,512,3,"SELECT AVG(""UserID"") FROM hits",1,626,536781437,378073648,36654,0
Liquid,512,3,"SELECT AVG(""UserID"") FROM hits",2,1609,536781437,378073648,36654,0
Liquid,512,4,"SELECT COUNT(DISTINCT ""UserID"") FROM hits",0,1906,536781437,378073648,36654,0
Liquid,512,4,"SELECT COUNT(DISTINCT ""UserID"") FROM hits",1,1611,536781437,378073648,36654,0
Liquid,512,4,"SELECT COUNT(DISTINCT ""UserID"") FROM hits",2,1601,536781437,378073648,36654,0
Liquid,512,5,"SELECT COUNT(DISTINCT ""SearchPhrase"") FROM hits",0,15835,536777903,935588320,48872,0
Liquid,512,5,"SELECT COUNT(DISTINCT ""SearchPhrase"") FROM hits",1,600,536777903,935588320,48872,0
Liquid,512,5,"SELECT COUNT(DISTINCT ""SearchPhrase"") FROM hits",2,585,536777903,935588320,48872,0
Liquid,512,6,"SELECT MIN(""EventDate""::INT::DATE), MAX(""EventDate""::INT::DATE) FROM hits",0,721,536818726,954285960,61090,0
Liquid,512,6,"SELECT MIN(""EventDate""::INT::DATE), MAX(""EventDate""::INT::DATE) FROM hits",1,29,536818726,954285960,61090,0
Liquid,512,6,"SELECT MIN(""EventDate""::INT::DATE), MAX(""EventDate""::INT::DATE) FROM hits",2,25,536818726,954285960,61090,0
Liquid,512,7,"SELECT ""AdvEngineID"", COUNT(*) FROM hits WHERE ""AdvEngineID"" <> 0 GROUP BY ""AdvE",0,4808,536818726,954285960,61090,0
Liquid,512,7,"SELECT ""AdvEngineID"", COUNT(*) FROM hits WHERE ""AdvEngineID"" <> 0 GROUP BY ""AdvE",1,5791,536818726,954285960,61090,0
Liquid,512,7,"SELECT ""AdvEngineID"", COUNT(*) FROM hits WHERE ""AdvEngineID"" <> 0 GROUP BY ""AdvE",2,5792,536818726,954285960,61090,0
Liquid,512,8,"SELECT ""RegionID"", COUNT(DISTINCT ""UserID"") AS u FROM hits GROUP BY ""RegionID"" O",0,9202,536743481,1165015640,73308,0
Liquid,512,8,"SELECT ""RegionID"", COUNT(DISTINCT ""UserID"") AS u FROM hits GROUP BY ""RegionID"" O",1,5007,536743481,1165015640,73308,0
Liquid,512,8,"SELECT ""RegionID"", COUNT(DISTINCT ""UserID"") AS u FROM hits GROUP BY ""RegionID"" O",2,5865,536743481,1165015640,73308,0
Liquid,512,9,"SELECT ""RegionID"", SUM(""AdvEngineID""), COUNT(*) AS c, AVG(""ResolutionWidth""), CO",0,10263,536743481,1165015640,73308,0
Liquid,512,9,"SELECT ""RegionID"", SUM(""AdvEngineID""), COUNT(*) AS c, AVG(""ResolutionWidth""), CO",1,10964,536743481,1165015640,73308,0
Liquid,512,9,"SELECT ""RegionID"", SUM(""AdvEngineID""), COUNT(*) AS c, AVG(""ResolutionWidth""), CO",2,10954,536743481,1165015640,73308,0
Liquid,512,10,"SELECT ""MobilePhoneModel"", COUNT(DISTINCT ""UserID"") AS u FROM hits WHERE ""Mobile",0,7475,536586594,1370327952,85526,0
Liquid,512,10,"SELECT ""MobilePhoneModel"", COUNT(DISTINCT ""UserID"") AS u FROM hits WHERE ""Mobile",1,5664,536586594,1370327952,85526,0
Liquid,512,10,"SELECT ""MobilePhoneModel"", COUNT(DISTINCT ""UserID"") AS u FROM hits WHERE ""Mobile",2,5853,536586594,1370327952,85526,0
Liquid,512,11,"SELECT ""MobilePhone"", ""MobilePhoneModel"", COUNT(DISTINCT ""UserID"") AS u FROM hit",0,6749,536843262,1450187848,97727,0
Liquid,512,11,"SELECT ""MobilePhone"", ""MobilePhoneModel"", COUNT(DISTINCT ""UserID"") AS u FROM hit",1,5850,536843262,1450187848,97727,0
Liquid,512,11,"SELECT ""MobilePhone"", ""MobilePhoneModel"", COUNT(DISTINCT ""UserID"") AS u FROM hit",2,5846,536843262,1450187848,97727,0
Liquid,512,12,"SELECT ""SearchPhrase"", COUNT(*) AS c FROM hits WHERE ""SearchPhrase"" <> '' GROUP ",0,8581,536843262,1450187848,97727,0
Liquid,512,12,"SELECT ""SearchPhrase"", COUNT(*) AS c FROM hits WHERE ""SearchPhrase"" <> '' GROUP ",1,8566,536843262,1450187848,97727,0
Liquid,512,12,"SELECT ""SearchPhrase"", COUNT(*) AS c FROM hits WHERE ""SearchPhrase"" <> '' GROUP ",2,8539,536843262,1450187848,97727,0
Liquid,512,13,"SELECT ""SearchPhrase"", COUNT(DISTINCT ""UserID"") AS u FROM hits WHERE ""SearchPhra",0,14854,536843262,1450187848,97727,0
Liquid,512,13,"SELECT ""SearchPhrase"", COUNT(DISTINCT ""UserID"") AS u FROM hits WHERE ""SearchPhra",1,14390,536843262,1450187848,97727,0
Liquid,512,13,"SELECT ""SearchPhrase"", COUNT(DISTINCT ""UserID"") AS u FROM hits WHERE ""SearchPhra",2,14378,536843262,1450187848,97727,0
Liquid,512,14,"SELECT ""SearchEngineID"", ""SearchPhrase"", COUNT(*) AS c FROM hits WHERE ""SearchPh",0,22221,536795583,1548754880,109869,0
Liquid,512,14,"SELECT ""SearchEngineID"", ""SearchPhrase"", COUNT(*) AS c FROM hits WHERE ""SearchPh",1,7759,536795583,1548754880,109869,0
Liquid,512,14,"SELECT ""SearchEngineID"", ""SearchPhrase"", COUNT(*) AS c FROM hits WHERE ""SearchPh",2,8687,536795583,1548754880,109869,0
Liquid,512,15,"SELECT ""UserID"", COUNT(*) FROM hits GROUP BY ""UserID"" ORDER BY COUNT(*) DESC LIM",0,5927,536795583,1548754880,109869,0
Liquid,512,15,"SELECT ""UserID"", COUNT(*) FROM hits GROUP BY ""UserID"" ORDER BY COUNT(*) DESC LIM",1,5855,536795583,1548754880,109869,0
Liquid,512,15,"SELECT ""UserID"", COUNT(*) FROM hits GROUP BY ""UserID"" ORDER BY COUNT(*) DESC LIM",2,5850,536795583,1548754880,109869,0
